35th-Bronzeville-IIT	41120
43rd	41270
47th	41080
51st	40130
Adams/Wabash	40680
Ashland	40170
Ashland/63rd	40290
Austin	41260
California	41360
Central	40280
Cermak-McCormick Place	41690
Cicero	40480
Clark/Lake	40380
Clinton	41160
Conservatory	41670
Cottage Grove	40720
Garfield	40510
Halsted	40940
Harlem/Lake	40020
Indiana	40300
Indiana	40300
Kedzie	41070
King Drive	41140
Laramie	40700
Morgan	41510
Oak Park	41350
Pulaski	40030
Randolph/Wabash	40200
Ridgeland	40610
Ridgeland	40610
Roosevelt	41400
State/Lake	40260
